Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime
Trajectory1,397,22,100,0.13027862395606704,10.663387537002563
Trajectory2,397,22,100,0.030954444149426087,10.772673845291138
Trajectory3,397,22,100,0.023685326427646636,11.36194396018982
Trajectory4,397,22,100,0.04985687437228253,10.20792841911316
Trajectory5,397,22,100,0.03456612356976062,10.044476509094238
Trajectory6,397,22,100,0.02933681934022293,9.923217296600342
Trajectory7,397,22,100,0.04303875564669565,9.868631362915039
Trajectory8,397,22,100,0.03878871173987157,9.895814657211304
Trajectory9,397,22,100,0.04265876906141746,9.799302101135254
Trajectory10,397,22,100,0.02913374212856624,9.838327646255493
Trajectory11,397,22,100,0.04625870614771467,9.988305568695068
Trajectory12,397,22,100,0.006147322806209975,9.953468561172485
