ID,Trajectory,Learning Rate 1,Learning Rate 2,Stacking Count,6(),4(),Best RMSE Loss,Time Taken,Epochs
1,5,0.0012,0.0005,2,1,4,0.4287890416634262,25.574934482574463,75
2,5,0.0012,0.0005,2,1,5,0.3790983062576554,25.943471431732178,75
3,5,0.0012,0.0005,2,1,3,0.5033305888735784,26.05688238143921,75
4,8,0.0012,0.0005,2,1,4,0.6440210304872943,25.944056510925293,75
5,8,0.0012,0.0005,2,1,5,0.5767631233649244,25.82602286338806,75
6,8,0.0012,0.0005,2,1,3,0.7516406991549985,26.00242328643799,75
7,10,0.0012,0.0005,2,1,4,0.4169446196678655,25.699963331222534,75
8,10,0.0012,0.0005,2,1,5,0.3691937218015583,25.72937798500061,75
9,10,0.0012,0.0005,2,1,3,0.49276218651893994,26.024260997772217,75
10,6,0.0012,0.0005,2,1,4,0.13923425020470936,26.023181200027466,75
11,6,0.0012,0.0005,2,1,5,0.12182779537559271,25.780618906021118,75
12,6,0.0012,0.0005,2,1,3,0.165565734875099,26.183015823364258,75
13,3,0.0012,0.0005,2,1,4,0.1749924676661568,25.99102807044983,75
14,3,0.0012,0.0005,2,1,5,0.16362669044267675,26.178821802139282,75
15,3,0.0012,0.0005,2,1,3,0.18352766504288054,25.862242221832275,75
16,4,0.0012,0.0005,2,1,4,0.6701152590254522,25.95222043991089,75
17,4,0.0012,0.0005,2,1,5,0.5784181064328546,26.005974531173706,75
18,4,0.0012,0.0005,2,1,3,0.783566988048088,25.891868114471436,75
19,12,0.0012,0.0005,2,1,4,0.000320543250390534,26.311734199523926,75
20,12,0.0012,0.0005,2,1,5,0.00028844054515764764,25.788058280944824,75
21,12,0.0012,0.0005,2,1,3,0.0004561447047037163,26.005386114120483,75
22,13,0.0012,0.0005,2,1,4,0.06054177931630627,25.897115468978882,75
23,13,0.0012,0.0005,2,1,5,0.05340111408759073,25.693876028060913,75
24,13,0.0012,0.0005,2,1,3,0.07334455018402208,25.980374336242676,75
25,1,0.0012,0.0005,2,1,4,0.5165948928712697,25.760947942733765,75
26,1,0.0012,0.0005,2,1,5,0.4608986216542029,25.79552459716797,75
27,1,0.0012,0.0005,2,1,3,0.5801977018208112,25.941837310791016,75
28,11,0.0012,0.0005,2,1,4,0.11555041141158152,25.839186906814575,75
29,11,0.0012,0.0005,2,1,5,0.08159785277332977,25.770619869232178,75
30,11,0.0012,0.0005,2,1,3,0.15928744412384616,25.979849815368652,75
31,2,0.0012,0.0005,2,1,4,0.356379328254671,25.87301778793335,75
32,2,0.0012,0.0005,2,1,5,0.30603044964348086,25.684897422790527,75
33,2,0.0012,0.0005,2,1,3,0.41894629196778954,25.70780110359192,75
34,9,0.0012,0.0005,2,1,4,0.42565228350418166,25.612611293792725,75
35,9,0.0012,0.0005,2,1,5,0.1918107423295129,25.62442922592163,75
36,9,0.0012,0.0005,2,1,3,0.43044361757660116,25.79032826423645,75
37,7,0.0012,0.0005,2,1,4,0.14285476849228382,25.780616998672485,75
38,7,0.0012,0.0005,2,1,5,0.12671801414023917,25.796620845794678,75
39,7,0.0012,0.0005,2,1,3,0.16612450203498316,25.711861610412598,75
