Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
1,1,3,0.001,0.3,128,50,3,1739877502.94,1.1117833600424958
1,1,3,0.1,0.3,128,50,3,1739877614.3,1.1117833600424958
1,1,3,0.11000000000000001,0.315,148,55,4,1739877659.62,1.1117833600424958
1,1,3,0.12100000000000002,0.33075000000000004,150,60,5,1739877707.76,1.1117833600424958
1,1,3,0.13310000000000002,0.3472875000000001,150,65,6,1739877758.49,1.1117833600424958
1,1,3,0.14641000000000004,0.3646518750000001,150,70,7,1739877812.66,1.1117833600424958
10,1,3,0.16105100000000006,0.38288446875000015,150,75,8,1739877874.52,1.0520453292404548
10,1,3,0.17715610000000007,0.4020286921875002,150,80,9,1739877964.28,1.0520453292404548
10,1,3,0.1948717100000001,0.4221301267968752,150,85,10,1739878047.71,1.0518780504318896
10,1,3,0.2143588810000001,0.443236633136719,150,90,11,1739878122.73,1.0518780504318896
10,1,3,0.23579476910000013,0.465398464793555,150,95,12,1739878207.02,1.0518780504318896
10,1,4,0.25937424601000014,0.48866838803323276,150,100,13,1739878287.23,inf
10,1,4,0.28531167061100016,0.5131018074348944,150,105,14,1739878377.37,inf
10,1,4,0.3138428376721002,0.5387568978066392,150,110,15,1739878462.26,inf
10,1,4,0.3452271214393102,0.5656947426969712,150,115,16,1739878550.85,inf
10,1,4,0.37974983358324127,0.5939794798318198,150,120,17,1739878641.69,inf
10,1,5,0.41772481694156544,0.6236784538234108,150,125,18,1739878735.13,inf
10,1,5,0.45949729863572203,0.6548623765145813,150,130,19,1739878837.98,inf
10,1,5,0.5054470284992942,0.6876054953403105,150,135,20,1739878947.49,inf
10,1,5,0.5559917313492238,0.721985770107326,150,140,21,1739879057.39,inf
10,1,5,0.6115909044841462,0.7580850586126924,150,145,22,1739879170.0,inf
10,2,2,0.6727499949325609,0.7959893115433271,150,150,23,1739879288.09,inf
10,2,2,0.740024994425817,0.8357887771204935,150,155,24,1739879406.79,inf
10,2,2,0.8140274938683988,0.8775782159765182,150,160,25,1739879530.7,inf
10,2,2,0.8954302432552388,0.9214571267753442,150,165,26,1739879657.98,inf
10,2,2,0.9849732675807628,0.9675299831141114,150,170,27,1739879790.94,inf
1,1,3,0.01,0.3,128,50,3,1739881116.53,1.1117833600424958
1,1,3,0.1,0.3,128,50,3,1739881201.07,1.1117833600424958
