ID,Trajectory,Learning Rate,Stacking Count,6(),4(),Best RMSE Loss,Time Taken,Epochs
1,1,0.0012,2,1,3,0.6270805306487477,134.06921529769897,75
2,1,0.0012,2,1,4,0.6571103457577028,157.8282494544983,75
3,1,0.0012,2,1,5,0.6045872235846694,154.29045629501343,75
4,10,0.0012,2,1,3,0.12265262134589207,151.71823287010193,75
5,10,0.0012,2,1,4,0.18863478961415958,91.31738495826721,75
6,10,0.0012,2,1,5,0.18869030778634452,152.4982671737671,75
7,10,0.0012,2,2,2,0.11915348673464699,160.40394949913025,75
8,11,0.0012,2,1,3,0.052942605043178693,158.73492169380188,75
9,11,0.0012,2,1,4,0.05372070943669224,75.15897250175476,75
10,11,0.0012,2,1,5,0.01991752122675756,67.37750506401062,75
11,11,0.0012,2,2,2,0.00861198183424195,58.70438575744629,75
12,12,0.0012,2,1,3,0.0002871141270130658,59.14997959136963,75
13,12,0.0012,2,1,4,0.00020937555429724228,61.625330686569214,75
14,12,0.0012,2,1,5,0.00018705134646747215,63.76232862472534,75
15,12,0.0012,2,2,2,0.0004318755189784679,57.148139238357544,75
16,13,0.0012,2,1,3,0.03141948649188249,60.186572551727295,75
17,13,0.0012,2,1,4,0.02244398915377911,60.86292481422424,75
18,13,0.0012,2,1,5,0.02833129926570802,60.373546838760376,75
19,13,0.0012,2,2,2,0.030993236656960126,57.892056703567505,75
20,2,0.0012,2,1,3,0.42051050031141407,56.80146408081055,75
21,2,0.0012,2,1,4,0.382342604636976,60.709816455841064,75
22,2,0.0012,2,1,5,0.34885262994273075,63.69301128387451,75
23,2,0.0012,2,2,2,0.3428070441025727,111.74623847007751,75
24,3,0.0012,2,1,3,0.25213354588645004,121.87655711174011,75
25,3,0.0012,2,1,4,0.1750896156678873,125.28332591056824,75
26,3,0.0012,2,1,5,0.2026587506332102,117.2772364616394,75
27,3,0.0012,2,2,2,0.19807213369100257,65.76254057884216,75
28,4,0.0012,2,1,3,0.63172519684852,64.1564712524414,75
29,4,0.0012,2,1,4,1.0336602033884352,62.61882472038269,75
30,4,0.0012,2,1,5,0.977999069966775,72.82998204231262,75
31,4,0.0012,2,2,2,0.5740003962118054,58.086589336395264,75
32,5,0.0012,2,1,3,0.2908338097214448,106.22449350357056,75
33,5,0.0012,2,1,4,0.2599562238569871,138.16772603988647,75
34,5,0.0012,2,1,5,0.297195203551313,135.8351809978485,75
35,5,0.0012,2,2,2,0.32470448281979525,188.5986852645874,75
36,6,0.0012,2,1,3,0.22426830502569423,206.32701683044434,75
37,6,0.0012,2,1,4,0.19633755841177214,135.76086711883545,75
38,6,0.0012,2,1,5,0.1933477811972019,138.15803146362305,75
39,6,0.0012,2,2,2,0.20224706548539298,136.74996900558472,75
40,7,0.0012,2,1,3,0.13830251723453385,136.5904016494751,75
41,7,0.0012,2,1,4,0.075754837951667,138.01934146881104,75
42,7,0.0012,2,1,5,0.05478658775645488,62.43721413612366,75
43,7,0.0012,2,2,2,0.20447616289021342,64.45975923538208,75
44,8,0.0012,2,1,3,0.31404495661748416,57.1552529335022,75
45,8,0.0012,2,1,4,0.48184088087707544,55.374356508255005,75
46,8,0.0012,2,1,5,0.5950501748188842,58.31015372276306,75
47,8,0.0012,2,2,2,0.22350243064132563,62.90565347671509,75
48,9,0.0012,2,1,3,0.007738431032865981,60.02854251861572,75
49,9,0.0012,2,1,4,0.013495670163542733,56.02089738845825,75
50,9,0.0012,2,1,5,0.011543396745269309,56.3059720993042,75
51,9,0.0012,2,2,2,0.006988833694206187,62.42934465408325,75
