LSTM,,,,,,,,,,,MNN,,,,,,,,,
ID,Trajectory,Learning Rate,Stacking Count,6(),4(),Best RMSE Loss,Time Taken,Epochs,,,ID,Trajectory,Learning Rate 1,Learning Rate 2,Stacking Count,6(),4(),Best RMSE Loss,Time Taken,Epochs
1,1,0.0012,2,1,3,0.627080531,134.0692153,75,,,1,5,0.0012,0.0005,2,1,4,0.428789042,25.57493448,75
2,1,0.0012,2,1,4,0.657110346,157.8282495,75,,,2,5,0.0012,0.0005,2,1,5,0.379098306,25.94347143,75
3,1,0.0012,2,1,5,0.604587224,154.2904563,75,,,3,5,0.0012,0.0005,2,1,3,0.503330589,26.05688238,75
4,10,0.0012,2,1,3,0.122652621,151.7182329,75,,,4,8,0.0012,0.0005,2,1,4,0.64402103,25.94405651,75
5,10,0.0012,2,1,4,0.18863479,91.31738496,75,,,5,8,0.0012,0.0005,2,1,5,0.576763123,25.82602286,75
6,10,0.0012,2,1,5,0.188690308,152.4982672,75,,,6,8,0.0012,0.0005,2,1,3,0.751640699,26.00242329,75
7,10,0.0012,2,2,2,0.119153487,160.4039495,75,,,7,10,0.0012,0.0005,2,1,4,0.41694462,25.69996333,75
8,11,0.0012,2,1,3,0.052942605,158.7349217,75,,,8,10,0.0012,0.0005,2,1,5,0.369193722,25.72937799,75
9,11,0.0012,2,1,4,0.053720709,75.1589725,75,,,9,10,0.0012,0.0005,2,1,3,0.492762187,26.024261,75
10,11,0.0012,2,1,5,0.019917521,67.37750506,75,,,10,6,0.0012,0.0005,2,1,4,0.13923425,26.0231812,75
11,11,0.0012,2,2,2,0.008611982,58.70438576,75,,,11,6,0.0012,0.0005,2,1,5,0.121827795,25.78061891,75
12,12,0.0012,2,1,3,0.000287114,59.14997959,75,,,12,6,0.0012,0.0005,2,1,3,0.165565735,26.18301582,75
13,12,0.0012,2,1,4,0.000209376,61.62533069,75,,,13,3,0.0012,0.0005,2,1,4,0.174992468,25.99102807,75
14,12,0.0012,2,1,5,0.000187051,63.76232862,75,,,14,3,0.0012,0.0005,2,1,5,0.16362669,26.1788218,75
15,12,0.0012,2,2,2,0.000431876,57.14813924,75,,,15,3,0.0012,0.0005,2,1,3,0.183527665,25.86224222,75
16,13,0.0012,2,1,3,0.031419486,60.18657255,75,,,16,4,0.0012,0.0005,2,1,4,0.670115259,25.95222044,75
17,13,0.0012,2,1,4,0.022443989,60.86292481,75,,,17,4,0.0012,0.0005,2,1,5,0.578418106,26.00597453,75
18,13,0.0012,2,1,5,0.028331299,60.37354684,75,,,18,4,0.0012,0.0005,2,1,3,0.783566988,25.89186811,75
19,13,0.0012,2,2,2,0.030993237,57.8920567,75,,,19,12,0.0012,0.0005,2,1,4,0.000320543,26.3117342,75
20,2,0.0012,2,1,3,0.4205105,56.80146408,75,,,20,12,0.0012,0.0005,2,1,5,0.000288441,25.78805828,75
21,2,0.0012,2,1,4,0.382342605,60.70981646,75,,,21,12,0.0012,0.0005,2,1,3,0.000456145,26.00538611,75
22,2,0.0012,2,1,5,0.34885263,63.69301128,75,,,22,13,0.0012,0.0005,2,1,4,0.060541779,25.89711547,75
23,2,0.0012,2,2,2,0.342807044,111.7462385,75,,,23,13,0.0012,0.0005,2,1,5,0.053401114,25.69387603,75
24,3,0.0012,2,1,3,0.252133546,121.8765571,75,,,24,13,0.0012,0.0005,2,1,3,0.07334455,25.98037434,75
25,3,0.0012,2,1,4,0.175089616,125.2833259,75,,,25,1,0.0012,0.0005,2,1,4,0.516594893,25.76094794,75
26,3,0.0012,2,1,5,0.202658751,117.2772365,75,,,26,1,0.0012,0.0005,2,1,5,0.460898622,25.7955246,75
27,3,0.0012,2,2,2,0.198072134,65.76254058,75,,,27,1,0.0012,0.0005,2,1,3,0.580197702,25.94183731,75
28,4,0.0012,2,1,3,0.631725197,64.15647125,75,,,28,11,0.0012,0.0005,2,1,4,0.115550411,25.83918691,75
29,4,0.0012,2,1,4,1.033660203,62.61882472,75,,,29,11,0.0012,0.0005,2,1,5,0.081597853,25.77061987,75
30,4,0.0012,2,1,5,0.97799907,72.82998204,75,,,30,11,0.0012,0.0005,2,1,3,0.159287444,25.97984982,75
31,4,0.0012,2,2,2,0.574000396,58.08658934,75,,,31,2,0.0012,0.0005,2,1,4,0.356379328,25.87301779,75
32,5,0.0012,2,1,3,0.29083381,106.2244935,75,,,32,2,0.0012,0.0005,2,1,5,0.30603045,25.68489742,75
33,5,0.0012,2,1,4,0.259956224,138.167726,75,,,33,2,0.0012,0.0005,2,1,3,0.418946292,25.7078011,75
34,5,0.0012,2,1,5,0.297195204,135.835181,75,,,34,9,0.0012,0.0005,2,1,4,0.425652284,25.61261129,75
35,5,0.0012,2,2,2,0.324704483,188.5986853,75,,,35,9,0.0012,0.0005,2,1,5,0.191810742,25.62442923,75
36,6,0.0012,2,1,3,0.224268305,206.3270168,75,,,36,9,0.0012,0.0005,2,1,3,0.430443618,25.79032826,75
37,6,0.0012,2,1,4,0.196337558,135.7608671,75,,,37,7,0.0012,0.0005,2,1,4,0.142854768,25.780617,75
38,6,0.0012,2,1,5,0.193347781,138.1580315,75,,,38,7,0.0012,0.0005,2,1,5,0.126718014,25.79662085,75
39,6,0.0012,2,2,2,0.202247065,136.749969,75,,,39,7,0.0012,0.0005,2,1,3,0.166124502,25.71186161,75
40,7,0.0012,2,1,3,0.138302517,136.5904016,75,,,,,,,,,,,,
41,7,0.0012,2,1,4,0.075754838,138.0193415,75,,,,,,,,,,,,
42,7,0.0012,2,1,5,0.054786588,62.43721414,75,,,,,,,,,,,,
43,7,0.0012,2,2,2,0.204476163,64.45975924,75,,,,,,,,,,,,
44,8,0.0012,2,1,3,0.314044957,57.15525293,75,,,,,,,,,,,,
45,8,0.0012,2,1,4,0.481840881,55.37435651,75,,,,,,,,,,,,
46,8,0.0012,2,1,5,0.595050175,58.31015372,75,,,,,,,,,,,,
47,8,0.0012,2,2,2,0.223502431,62.90565348,75,,,,,,,,,,,,
48,9,0.0012,2,1,3,0.007738431,60.02854252,75,,,,,,,,,,,,
49,9,0.0012,2,1,4,0.01349567,56.02089739,75,,,,,,,,,,,,
50,9,0.0012,2,1,5,0.011543397,56.3059721,75,,,,,,,,,,,,
51,9,0.0012,2,2,2,0.006988834,62.42934465,75,,,,,,,,,,,,
